"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1592","test_toil_hours_used_subheader_visible","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","5908","test_hours_remaining_after_usage","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","2088","test_annual_tab_metrics_visible","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","4735","test_finish_time_shown_when_clocked_in","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","5896","test_4_day_pattern_accepts_14h","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","2770","test_hours_used_update","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","1159","test_annual_default_working_pattern","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","27","test_monthly_unselected_working_pattern","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","2990","test_multiple_weeks_total_correct","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","2241","test_holiday_days_info_message","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","5794","test_reset_restores_clock_in_action","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","4592","test_reject_exact_standard_day_hours","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","6209","test_delete_entry","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","10","test_period_end_date_correct","automationTesting","2026-05-18","passed","2026-05-18","","test_pay_period","",""
"","5441","test_preview_qualifies_annual_toil","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","7491","test_overtime_over_3h_shows_toil_qualification","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","1240","test_log_overtime_subheader_visible","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","1149","test_days_equivalent_captions_visible","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","1245","test_log_subheader_visible","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","2168","test_holiday_info_shows_correct_calculation","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","4725","test_invalid_time_format_shows_error","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","13","test_pay_period_subheader_visible","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","3780","test_4_day_pattern_holiday_uses_10h","automationTesting","2026-05-18","passed","2026-05-18","","test_monthly_tab","",""
"","5810","test_reset_clock_clears_all_entries","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","2106","test_hours_today_subheader_visible","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","2085","test_first_action_is_clock_in","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","2292","test_clear_all_shows_confirmation","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
"","7484","test_after_clock_out_next_action_is_clock_in","automationTesting","2026-05-18","passed","2026-05-18","","test_hours_today","",""
"","1219","test_preview_zero_hours_no_message","automationTesting","2026-05-18","passed","2026-05-18","","test_annual_tab","",""
